VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1C4JJXP68P,Yakima,Yakima,WA,98901,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,15,249905295,POINT (-120.50729 46.60464),PACIFICORP,53077001601
1G1FY6S03L,Kitsap,Kingston,WA,98346,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,23,141133765,POINT (-122.4977 47.79802),PUGET SOUND ENERGY INC,53035940000
KNDCE3LG9K,King,Seattle,WA,98125,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,46,3410074,POINT (-122.30253 47.72656),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000101
1N4AZ0CP8E,Thurston,Olympia,WA,98506,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,22,182436474,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012100
5YJXCAE29L,Kitsap,Silverdale,WA,98383,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,0,23,1843054,POINT (-122.69275 47.65171),PUGET SOUND ENERGY INC,53035091206
1G1FX6S02H,Kitsap,Kingston,WA,98346,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,23,477830503,POINT (-122.4977 47.79802),PUGET SOUND ENERGY INC,53035940000
7SAYGDEE4S,Thurston,Olympia,WA,98501,2025,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,275305593,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067010400
5YJSA1DG8D,Thurston,Olympia,WA,98512,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,35,188559976,POINT (-122.9131 47.01359),PUGET SOUND ENERGY INC,53067011821
KNDJX3AE9G,Thurston,Olympia,WA,98506,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,22,147089407,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067010200
5YJYGDEF7L,King,Seattle,WA,98146,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,34,112896577,POINT (-122.36178 47.49408),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033012100
JTDKARFP9H,Thurston,Yelm,WA,98597,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,2,227235165,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012412
1G1FX6S01K,Thurston,Rainier,WA,98576,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,20,147445301,POINT (-122.68993 46.88897),PUGET SOUND ENERGY INC,53067012530
1N4AZ0CP7F,King,Seattle,WA,98105,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,43,154970721,POINT (-122.31307 47.66127),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004500
1N4AZ0CP5F,Kitsap,Poulsbo,WA,98370,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,23,167991575,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035091100
3FA6P0SU8G,Snohomish,Lynnwood,WA,98036,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,1,172853495,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051932
5YJ3E1EB3N,Yakima,Wapato,WA,98951,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,204768175,POINT (-120.42083 46.44779),PACIFICORP,53077940008
5YJSA1E26J,Snohomish,Mukilteo,WA,98275,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,21,474398907,POINT (-122.29196 47.89908),PUGET SOUND ENERGY INC,53061042005
3MW39FF06P,Kitsap,Silverdale,WA,98383,2023,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,23,259821229,POINT (-122.69275 47.65171),PUGET SOUND ENERGY INC,53035091205
3FA6P0PU6E,Yakima,Yakima,WA,98902,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,14,172931510,POINT (-120.52041 46.59751),PACIFICORP,53077000600
YV4H60DM4N,Island,Oak Harbor,WA,98277,2022,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,10,202198398,POINT (-122.64682 48.29077),PUGET SOUND ENERGY INC,53029970602
5YJ3E1EB8K,King,Seattle,WA,98133,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,46,214997772,POINT (-122.35029 47.71871),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000602
5LMTJ5DZ7P,Thurston,Olympia,WA,98502,2023,LINCOLN,CORSAIR,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,28,0,22,257704870,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011100
5UX43EU02R,Kitsap,Poulsbo,WA,98370,2024,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39,0,23,259427829,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035940100
7SAYGDEE4P,Thurston,Lacey,WA,98503,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,251386138,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011410
KNDCS3LF1R,Kitsap,Bremerton,WA,98312,2024,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,35,268713553,POINT (-122.6563 47.56739),PUGET SOUND ENERGY INC,53035092000
JTJAAAAB8P,Kitsap,Port Orchard,WA,98367,2023,LEXUS,RZ,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,260305930,POINT (-122.68471 47.50524),PUGET SOUND ENERGY INC,53035092901
5YJ3E1EB0K,Snohomish,Mukilteo,WA,98275,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,21,476272863,POINT (-122.29196 47.89908),PUGET SOUND ENERGY INC,53061042005
JHMZC5F11L,Kitsap,Olalla,WA,98359,2020,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,0,26,141818904,POINT (-122.54729 47.42602),PUGET SOUND ENERGY INC,53035092803
5YJYGDEE3L,King,Kent,WA,98042,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,47,112787790,POINT (-122.09124 47.33778),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031708
1N4AZ1CP0K,Thurston,Olympia,WA,98513,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,2,322093124,POINT (-122.81754 46.98876),PUGET SOUND ENERGY INC,53067012332
1N4AZ0CP2D,King,Issaquah,WA,98029,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,5,111339532,POINT (-122.00292 47.54748),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032220
YV4H60DM0N,Kitsap,Poulsbo,WA,98370,2022,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,23,199144977,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090201
5YJXCBE22J,Thurston,Olympia,WA,98501,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,22,259851259,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067010802
1N4AZ0CP0G,Thurston,Yelm,WA,98597,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,2,231298798,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012421
7SAYGDEF0P,Yakima,Yakima,WA,98908,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,245832296,POINT (-120.60199 46.59817),PACIFICORP,53077000902
5YJXCBE48H,Island,Freeland,WA,98249,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,10,255975933,POINT (-122.52664 48.00956),PUGET SOUND ENERGY INC,53029971800
YV4H60DM0R,Kitsap,Olalla,WA,98359,2024,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,26,257903621,POINT (-122.54729 47.42602),PUGET SOUND ENERGY INC,53035092803
LPSED3KA6M,Kitsap,Poulsbo,WA,98370,2021,POLESTAR,PS2,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,233,0,23,186968694,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035940100
2T3YL4DV9D,King,Burien,WA,98168,2013,TOYOTA,RAV4,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,103,0,34,107360312,POINT (-122.3317 47.50314),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033027400
JTMEB3FV3R,Snohomish,Bothell,WA,98012,2024,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,1,275540121,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061051933
1C4JJXP66P,Thurston,Yelm,WA,98597,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,20,272678521,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012510
5YJ3E1EA7J,Snohomish,Snohomish,WA,98290,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,44,476233649,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052502
5YJ3E1EB2R,Yakima,Yakima,WA,98902,2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,269850059,POINT (-120.52041 46.59751),PACIFICORP,53077000500
1N4AZ0CP7E,Thurston,Yelm,WA,98597,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,2,247914271,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012412
5YJ3E1EBXJ,King,Seattle,WA,98119,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,36,473672125,POINT (-122.3684 47.64586),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006900
7SAYGDED1S,Yakima,Yakima,WA,98902,2025,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,272875893,POINT (-120.52041 46.59751),PACIFICORP,53077000500
KNDCC3LG3K,Thurston,Olympia,WA,98502,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,22,2304473,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010600
5YJ3E1EC9L,Snohomish,Bothell,WA,98012,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,1,276015372,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052107
1N4AZ1CPXK,Thurston,Rochester,WA,98579,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,20,477204297,POINT (-123.08743 46.82175),PUGET SOUND ENERGY INC,53067012730
5YJSA1H48F,Thurston,Olympia,WA,98501,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,22,260841878,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067010802
5YJ3E1EA4J,King,Redmond,WA,98052,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,45,254365345,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032321
JTMAB3FVXR,Yakima,Yakima,WA,98902,2024,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,15,267785906,POINT (-120.52041 46.59751),PACIFICORP,53077001202
1C4JJXR60M,Kitsap,Poulsbo,WA,98370,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,23,187338357,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035940100
7SAYGDEF5N,Snohomish,Bothell,WA,98012,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,207278711,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052009
WA1VABGE3K,King,Shoreline,WA,98177,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,0,32,298530536,POINT (-122.36498 47.72238),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020800
5YJSA1CP5D,Thurston,Yelm,WA,98597,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,2,161597950,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012412
5YJSA1V41F,Snohomish,Snohomish,WA,98290,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,44,314980536,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052502
KNDCC3LG7N,Thurston,Yelm,WA,98597,2022,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,20,194340681,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012531
5YJ3E1EB8L,Thurston,Yelm,WA,98597,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,20,8860960,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012531
1C4RJXN64R,Thurston,Tenino,WA,98589,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,35,272278730,POINT (-122.85135 46.85752),PUGET SOUND ENERGY INC,53067012610
YV4H600N5P,Kitsap,Poulsbo,WA,98370,2023,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,23,276844494,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035091100
7SAYGDEF4N,Snohomish,Bothell,WA,98012,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,207516501,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052107
5YJSA1DN6D,Snohomish,Bothell,WA,98012,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,21,203670883,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061051927
5YJSA1E26J,King,Seattle,WA,98101,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,43,475284099,POINT (-122.34223 47.61085),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007302
KM8K33AGXL,King,Shoreline,WA,98155,2020,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258,0,32,104889473,POINT (-122.3175 47.75781),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020600
1N4AZ1CP9J,Island,Oak Harbor,WA,98277,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,10,140948209,POINT (-122.64682 48.29077),PUGET SOUND ENERGY INC,53029970500
YV4H60PF5S,Thurston,Olympia,WA,98502,2025,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,22,275185039,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010520
1FTVW1EVXP,Snohomish,Bothell,WA,98012,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,44,258913672,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052007
YV4H600L4N,Snohomish,Edmonds,WA,98020,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,21,260557300,POINT (-122.37689 47.81116),PUGET SOUND ENERGY INC,53061050300
5YJYGDEE7M,Snohomish,Bothell,WA,98012,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,144666910,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061051927
3C3CFFGE7H,King,Seattle,WA,98103,2017,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,43,9411349,POINT (-122.35436 47.67596),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004600
7SAYGDEEXP,Snohomish,Bothell,WA,98012,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,239874421,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052107
7SAYGDEE5P,Snohomish,Bothell,WA,98012,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,253657092,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061051933
LPSED3KA7M,King,Seatac,WA,98148,2021,POLESTAR,PS2,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,233,0,33,271756775,POINT (-122.32863 47.46233),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028500
SADHD2S1XK,Kitsap,Poulsbo,WA,98370,2019,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,234,0,23,109184036,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035091100
5YJSA1E16G,Kitsap,Poulsbo,WA,98370,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,23,298614312,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090502
2C4RC1L79M,Thurston,Olympia,WA,98502,2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,22,141995395,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067012002
KNDCE3LG6L,Thurston,Olympia,WA,98501,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,22,258988187,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067010700
5YJ3E1EA4J,Kitsap,Bremerton,WA,98310,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,23,272004372,POINT (-122.61136 47.5752),PUGET SOUND ENERGY INC,53035080400
5YJSA1E25G,King,Seattle,WA,98121,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,36,348429084,POINT (-122.34468 47.61578),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008002
YV4BR0CL3N,Snohomish,Bothell,WA,98021,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,1,194401833,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051937
KM8JFDA26P,Snohomish,Monroe,WA,98272,2023,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,39,252501987,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,53061052203
1N4AZ0CPXD,Kitsap,Poulsbo,WA,98370,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,23,143641634,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090201
KM8K53AGXL,Thurston,Olympia,WA,98501,2020,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258,0,22,125950702,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067010100
5YJYGDEE1M,Yakima,Naches,WA,98937,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,181238536,POINT (-120.69972 46.7309),PACIFICORP,53077003002
7SAYGAEEXR,Snohomish,Bothell,WA,98012,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,270085105,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052107
5YJ3E1EB3J,Kitsap,Bremerton,WA,98311,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,23,136878675,POINT (-122.60915 47.62631),PUGET SOUND ENERGY INC,53035091701
1FMCU0KZ0N,Kitsap,Port Orchard,WA,98366,2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,26,227187257,POINT (-122.63847 47.54103),PUGET SOUND ENERGY INC,53035092200
KNDPZDDHXS,Kitsap,Bremerton,WA,98312,2025,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34,0,35,277864373,POINT (-122.6563 47.56739),PUGET SOUND ENERGY INC,53035080700
1G1RB6E46D,Yakima,Yakima,WA,98902,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,14,143594216,POINT (-120.52041 46.59751),PACIFICORP,53077000800
1N4AZ1CPXK,King,Sammamish,WA,98074,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,45,475765860,POINT (-122.02054 47.60326),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032225
5YJYGDEE2L,Kitsap,Poulsbo,WA,98370,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,23,128816992,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035091100
1N4BZ1BVXN,Snohomish,Brier,WA,98036,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,197411224,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051914
5YJ3E1EB6J,King,Seattle,WA,98121,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,36,326632449,POINT (-122.34468 47.61578),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008004
YV4H60CN8P,Snohomish,Bothell,WA,98012,2023,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,1,237796345,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061051936
JTDKARFP2L,Snohomish,Bothell,WA,98012,2020,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,1,313080064,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061051933
YV4H60CN2P,Snohomish,Bothell,WA,98021,2023,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,1,228505259,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051938
1N4AZ1CP6J,Thurston,Lacey,WA,98516,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,22,100902560,POINT (-122.75103 47.08149),PUGET SOUND ENERGY INC,53067012221
JTDKN3DP0F,Yakima,Moxee,WA,98936,2015,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,0,15,132420991,POINT (-120.39197 46.55621),PACIFICORP,53077001702
1N4AZ1CP7J,King,Bellevue,WA,98005,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,41,474972487,POINT (-122.1621 47.64441),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023604
1G1FY6S05K,Thurston,Olympia,WA,98502,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,35,120427324,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011902
1N4AZ0CP7F,Kitsap,Poulsbo,WA,98370,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,23,133191971,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090201
5YJ3E1EA0J,Thurston,Tumwater,WA,98512,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,22,121108942,POINT (-122.9131 47.01359),PUGET SOUND ENERGY INC,53067010910
1FADP3R49G,Kitsap,Kingston,WA,98346,2016,FORD,FOCUS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,76,0,23,249036378,POINT (-122.4977 47.79802),PUGET SOUND ENERGY INC,53035090102
1G1RF6E44E,Kitsap,Bremerton,WA,98310,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,23,233002353,POINT (-122.61136 47.5752),PUGET SOUND ENERGY INC,53035080400
3MW5P7J02N,Snohomish,Bothell,WA,98021,2022,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,1,268592341,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051938
1N4AZ0CP5F,King,Seattle,WA,98107,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,36,164199199,POINT (-122.38591 47.67597),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003201
3C3CFFGE3F,King,Seattle,WA,98117,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,36,173335865,POINT (-122.38418 47.70044),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003100
